Parent Category,Name,Display Name,Explaining Text,Supported On,Type,Label,Registry Key,Value Name,Possible Values
Quarantine,Quarantine_PurgeItemsAfterDelay,Configure removal of items from Quarantine folder,This policy setting defines the number of days items should be kept in the Quarantine folder before being removed.    If you enable this setting  items will be removed from the Quarantine folder after the number of days specified.    If you disable or do not configure this setting  items will be kept in the quarantine folder indefinitely and will not be automatically removed.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Configure removal of items from Quarantine folder,Software\Policies\Microsoft\Windows Defender\Quarantine,PurgeItemsAfterDelay,Textbox values:    0 (minimum)   10000000 (maximum)
Real-time Protection,RealtimeProtection_DisableSriptScanning,Turn on script scanning,This policy setting allows you to configure script scanning.    If you enable or do not configure this setting  script scanning will be enabled.    If you disable this setting  script scanning will be disabled.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableScriptScanning,Policy value:   0 (Enabled)   1 (Disabled)
Real-time Protection,RealtimeProtection_OobeEnableRtpAndSigUpdate,Configure real-time protection and Security Intelligence Updates during OOBE,This policy setting allows you to configure whether real-time protection and Security Intelligence Updates are enabled during OOBE (Out of Box experience).     If you enable this setting  real-time protection and Security Intelligence Updates are enabled during OOBE.     If you either disable or do not configure this policy setting  real-time protection and Security Intelligence Updates during OOBE is not enabled.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,OobeEnableRtpAndSigUpdate,Policy value:   1 (Enabled)   0 (Disabled)
Real-time Protection,RealtimeProtection_PerformanceModeStatus,Configure performance mode status,This policy controls Microsoft Defender Antivirus performance mode for Dev Drives.    A Dev Drive is a disk drive optimized for higher performance in software development scenarios. When this policy is Enabled or not configured  Performance mode is turned on for Microsoft Defender Antivirus. In Performance mode  Microsoft Defender Antivirus security checks of content stored on Dev Drives are conducted asynchronously to enhance performance. Performance mode requires the following policies also be enabled: â€œEnable dev driveâ€  and â€œDev drive filter attach policyâ€.    If you either Enable or do not configure this policy setting  Performance mode is turned on.    If you Disable this policy setting  Performance mode is turned off and Microsoft Defender Antivirus will protect a Dev Drive in the same way as other drives.,,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableAsyncScanOnOpen,Policy value:   0 (Enabled)   1 (Disabled)
Real-time Protection,RealtimeProtection_DisableBehaviorMonitoring,Turn on behavior monitoring,This policy setting allows you to configure behavior monitoring.    If you enable or do not configure this setting  behavior monitoring will be enabled.    If you disable this setting  behavior monitoring will be disabled.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableBehaviorMonitoring,Policy value:   0 (Enabled)   1 (Disabled)
Real-time Protection,RealtimeProtection_DisableIOAVProtection,Scan all downloaded files and attachments,This policy setting allows you to configure scanning for all downloaded files and attachments.    If you enable or do not configure this setting  scanning for all downloaded files and attachments will be enabled.    If you disable this setting  scanning for all downloaded files and attachments will be disabled.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableIOAVProtection,Policy value:   0 (Enabled)   1 (Disabled)
Real-time Protection,RealtimeProtection_DisableOnAccessProtection,Monitor file and program activity on your computer,This policy setting allows you to configure monitoring for file and program activity.    If you enable or do not configure this setting  monitoring for file and program activity will be enabled.    If you disable this setting  monitoring for file and program activity will be disabled.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableOnAccessProtection,Policy value:   0 (Enabled)   1 (Disabled)
Real-time Protection,RealtimeProtection_DisableRawWriteNotification,Turn on raw volume write notifications,This policy setting controls whether raw volume write notifications are sent to behavior monitoring.    If you enable or do not configure this setting  raw write notifications will be enabled.    If you disable this setting  raw write notifications be disabled.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableRawWriteNotification,Policy value:   0 (Enabled)   1 (Disabled)
Real-time Protection,DisableRealtimeMonitoring,Turn off real-time protection,This policy turns off real-time protection in Microsoft Defender Antivirus.    Real-time protection consists of always-on scanning with file and process behavior monitoring and heuristics. When real-time protection is on  Microsoft Defender Antivirus detects malware and potentially unwanted software that attempts to install itself or run on your device  and prompts you to take action on malware detections.    If you enable this policy setting  real-time protection is turned off.     If you either disable or do not configure this policy setting  real-time protection is turned on.,At least Windows Vista,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableRealtimeMonitoring,Policy value:   1 (Enabled)   0 (Disabled)
Real-time Protection,RealtimeProtection_DisableScanOnRealtimeEnable,Turn on process scanning whenever real-time protection is enabled,This policy setting allows you to configure process scanning when real-time protection is turned on. This helps to catch malware which could start when real-time protection is turned off.    If you enable or do not configure this setting   a process scan will be initiated when real-time protection is turned on.    If you disable this setting  a process scan will not be initiated when real-time protection is turned on.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableScanOnRealtimeEnable,Policy value:   0 (Enabled)   1 (Disabled)
Real-time Protection,RealtimeProtection_IOAVMaxSize,Define the maximum size of downloaded files and attachments to be scanned,This policy setting defines the maximum size (in kilobytes) of downloaded files and attachments that will be scanned.    If you enable this setting  downloaded files and attachments smaller than the size specified will be scanned.    If you disable or do not configure this setting  a default size will be applied.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,IOAVMaxSize,Policy value:
Real-time Protection,RealtimeProtection_IOAVMaxSize,Define the maximum size of downloaded files and attachments to be scanned,This policy setting defines the maximum size (in kilobytes) of downloaded files and attachments that will be scanned.    If you enable this setting  downloaded files and attachments smaller than the size specified will be scanned.    If you disable or do not configure this setting  a default size will be applied.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Define the maximum size of downloaded files and attachments to be scanned,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,IOAVMaxSize,Textbox values:    0 (minimum)   10000000 (maximum)
Real-time Protection,RealtimeProtection_LocalSettingOverrideDisableBehaviorMonitoring,Configure local setting override for turn on behavior monitoring,This policy setting configures a local override for the configuration of behavior monitoring. This setting can only be set by Group Policy.    If you enable this setting  the local preference setting will take priority over Group Policy.    If you disable or do not configure this setting  Group Policy will take priority over the local preference setting.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,LocalSettingOverrideDisableBehaviorMonitoring,Policy value:   1 (Enabled)   0 (Disabled)
Real-time Protection,RealtimeProtection_LocalSettingOverrideDisableOnAccessProtection,Configure local setting override for monitoring file and program activity on your computer,This policy setting configures a local override for the configuration of monitoring for file and program activity on your computer. This setting can only be set by Group Policy.    If you enable this setting  the local preference setting will take priority over Group Policy.    If you disable or do not configure this setting  Group Policy will take priority over the local preference setting.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,LocalSettingOverrideDisableOnAccessProtection,Policy value:   1 (Enabled)   0 (Disabled)
Real-time Protection,RealtimeProtection_LocalSettingOverrideDisableIOAVProtection,Configure local setting override for scanning all downloaded files and attachments,This policy setting configures a local override for the configuration of scanning for all downloaded files and attachments. This setting can only be set by Group Policy.    If you enable this setting  the local preference setting will take priority over Group Policy.    If you disable or do not configure this setting  Group Policy will take priority over the local preference setting.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,LocalSettingOverrideDisableIOAVProtection,Policy value:   1 (Enabled)   0 (Disabled)
Real-time Protection,RealtimeProtection_LocalSettingOverrideDisableRealtimeMonitoring,Configure local setting override to turn on real-time protection,This policy setting configures a local override for the configuration to turn on real-time protection. This setting can only be set by Group Policy.    If you enable this setting  the local preference setting will take priority over Group Policy.    If you disable or do not configure this setting  Group Policy will take priority over the local preference setting.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,LocalSettingOverrideDisableRealtimeMonitoring,Policy value:   1 (Enabled)   0 (Disabled)
Real-time Protection,RealtimeProtection_LocalSettingOverrideRealtimeScanDirection,Configure local setting override for monitoring for incoming and outgoing file activity,This policy setting configures a local override for the configuration of monitoring for incoming and outgoing file activity. This setting can only be set by Group Policy.    If you enable this setting  the local preference setting will take priority over Group Policy.    If you disable or do not configure this setting  Group Policy will take priority over the local preference setting.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,LocalSettingOverrideRealtimeScanDirection,Policy value:   1 (Enabled)   0 (Disabled)
Real-time Protection,RealtimeProtection_RealtimeScanDirection,Configure monitoring for incoming and outgoing file and program activity,This policy setting allows you to configure monitoring for incoming and outgoing files  without having to turn off monitoring entirely. It is recommended for use on servers where there is a lot of incoming and outgoing file activity but for performance reasons need to have scanning disabled for a particular scan direction. The appropriate configuration should be evaluated based on the server role.     Note that this configuration is only honored for NTFS volumes. For any other file system type  full monitoring of file and program activity will be present on those volumes.    The options for this setting are mutually exclusive:    0 = Scan incoming and outgoing files (default)    1 = Scan incoming files only    2 = Scan outgoing files only    Any other value  or if the value does not exist  resolves to the default (0).    If you enable this setting  the specified type of monitoring will be enabled.    If you disable or do not configure this setting  monitoring for incoming and outgoing files will be enabled.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,RealtimeScanDirection,Policy value:
Real-time Protection,RealtimeProtection_RealtimeScanDirection,Configure monitoring for incoming and outgoing file and program activity,This policy setting allows you to configure monitoring for incoming and outgoing files  without having to turn off monitoring entirely. It is recommended for use on servers where there is a lot of incoming and outgoing file activity but for performance reasons need to have scanning disabled for a particular scan direction. The appropriate configuration should be evaluated based on the server role.     Note that this configuration is only honored for NTFS volumes. For any other file system type  full monitoring of file and program activity will be present on those volumes.    The options for this setting are mutually exclusive:    0 = Scan incoming and outgoing files (default)    1 = Scan incoming files only    2 = Scan outgoing files only    Any other value  or if the value does not exist  resolves to the default (0).    If you enable this setting  the specified type of monitoring will be enabled.    If you disable or do not configure this setting  monitoring for incoming and outgoing files will be enabled.,At least Windows Server 2012  Windows 8 or Windows RT,dropdownList,Configure monitoring for incoming and outgoing file and program activity,Software\Policies\Microsoft\Windows Defender\Real-Time Protection,RealtimeScanDirection (required),"List items:      ""0"" = ""bi-directional (full on-access)""      ""1"" = ""scan only incoming (disable on-open)""      ""2"" = ""scan only outgoing (disable on-close)"""
Remediation,Remediation_LocalSettingOverrideScan_ScheduleTime,Configure local setting override for the time of day to run a scheduled full scan to complete remediation,This policy setting configures a local override for the configuration of the time to run a scheduled full scan to complete remediation. This setting can only be set by Group Policy.    If you enable this setting  the local preference setting will take priority over Group Policy.    If you disable or do not configure this setting  Group Policy will take priority over the local preference setting.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Remediation,LocalSettingOverrideScan_ScheduleTime,Policy value:   1 (Enabled)   0 (Disabled)
Remediation,Remediation_Scan_ScheduleDay,Specify the day of the week to run a scheduled full scan to complete remediation,This policy setting allows you to specify the day of the week on which to perform a scheduled full scan in order to complete remediation. The scan can also be configured to run every day or to never run at all.    This setting can be configured with the following ordinal number values:    (0x0) Every Day    (0x1) Sunday     (0x2) Monday    (0x3) Tuesday    (0x4) Wednesday    (0x5) Thursday    (0x6) Friday    (0x7) Saturday    (0x8) Never (default)    If you enable this setting  a scheduled full scan to complete remediation will run at the frequency specified.    If you disable or do not configure this setting  a scheduled full scan to complete remediation will run at a default frequency.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Remediation,Scan_ScheduleDay,Policy value:
Remediation,Remediation_Scan_ScheduleDay,Specify the day of the week to run a scheduled full scan to complete remediation,This policy setting allows you to specify the day of the week on which to perform a scheduled full scan in order to complete remediation. The scan can also be configured to run every day or to never run at all.    This setting can be configured with the following ordinal number values:    (0x0) Every Day    (0x1) Sunday     (0x2) Monday    (0x3) Tuesday    (0x4) Wednesday    (0x5) Thursday    (0x6) Friday    (0x7) Saturday    (0x8) Never (default)    If you enable this setting  a scheduled full scan to complete remediation will run at the frequency specified.    If you disable or do not configure this setting  a scheduled full scan to complete remediation will run at a default frequency.,At least Windows Server 2012  Windows 8 or Windows RT,dropdownList,Specify the day of the week to run a scheduled full scan to complete remediation,Software\Policies\Microsoft\Windows Defender\Remediation,Scan_ScheduleDay (required),"List items:      ""8"" = ""Never""      ""0"" = ""Every Day""      ""1"" = ""Sunday""      ""2"" = ""Monday""      ""3"" = ""Tuesday""      ""4"" = ""Wednesday""      ""5"" = ""Thursday""      ""6"" = ""Friday""      ""7"" = ""Saturday"""
Remediation,Remediation_Scan_ScheduleTime,Specify the time of day to run a scheduled full scan to complete remediation,This policy setting allows you to specify the time of day at which to perform a scheduled full scan in order to complete remediation. The time value is represented as the number of minutes past midnight (00:00).  For example  120 (0x78) is equivalent to 02:00 AM.  The schedule is based on local time on the computer where the scan is executing.    If you enable this setting  a scheduled full scan to complete remediation will run at the time of day specified.    If you disable or do not configure this setting  a scheduled full scan to complete remediation will run at a default time.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Remediation,Scan_ScheduleTime,Policy value:
Remediation,Remediation_Scan_ScheduleTime,Specify the time of day to run a scheduled full scan to complete remediation,This policy setting allows you to specify the time of day at which to perform a scheduled full scan in order to complete remediation. The time value is represented as the number of minutes past midnight (00:00).  For example  120 (0x78) is equivalent to 02:00 AM.  The schedule is based on local time on the computer where the scan is executing.    If you enable this setting  a scheduled full scan to complete remediation will run at the time of day specified.    If you disable or do not configure this setting  a scheduled full scan to complete remediation will run at a default time.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Specify the time of day to run a scheduled full scan to complete remediation,Software\Policies\Microsoft\Windows Defender\Remediation,Scan_ScheduleTime,Textbox values:    0 (minimum)   1440 (maximum)
Remote Encryption Protection,Remediation_BNB_REP_RemoteEncryptionProtection_ConfiguredState,Configure Remote Encryption Protection Mode,    Set the mode for Remote Encryption Protection in Microsoft Defender Antivirus  which can detect and block attempts to replace local files with encrypted versions from another device.     Supported settings:    * 0 - Not configured or Default: Apply defaults  which can vary depending on the antivirus engine version and the platform    * 1 - Block: Prevent suspicious and malicious behaviors    * 2 - Audit: Generate EDR detections without blocking    * 4 - Off: Feature is off with no performance impact    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Remote Encryption Protection,RemoteEncryptionProtectionConfiguredState,Policy value:
Remote Encryption Protection,Remediation_BNB_REP_RemoteEncryptionProtection_ConfiguredState,Configure Remote Encryption Protection Mode,    Set the mode for Remote Encryption Protection in Microsoft Defender Antivirus  which can detect and block attempts to replace local files with encrypted versions from another device.     Supported settings:    * 0 - Not configured or Default: Apply defaults  which can vary depending on the antivirus engine version and the platform    * 1 - Block: Prevent suspicious and malicious behaviors    * 2 - Audit: Generate EDR detections without blocking    * 4 - Off: Feature is off with no performance impact    ,At least Windows Server 2016  Windows 10 Version 1607,dropdownList,Specify the state of Remote Encryption Protection,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Remote Encryption Protection,RemoteEncryptionProtectionConfiguredState (required),"List items:      ""0"" = ""Default""      ""1"" = ""Block""      ""2"" = ""Audit""      ""4"" = ""Off"""
Remote Encryption Protection,Remediation_BNB_REP_RemoteEncryptionProtection_MaxBlockTime,Configure Remote Encryption Protection blocking time,    Set the maximum time an IP address is blocked by Remote Encryption Protection. After this time  blocked IP addresses will be able to reinitiate connections.     Supported settings:    * 0 - None: Internal feature logic will determine the actual blocking time    * Specify other times in 15-minute increments    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Remote Encryption Protection,RemoteEncryptionProtectionMaxBlockTime,Policy value:
Remote Encryption Protection,Remediation_BNB_REP_RemoteEncryptionProtection_MaxBlockTime,Configure Remote Encryption Protection blocking time,    Set the maximum time an IP address is blocked by Remote Encryption Protection. After this time  blocked IP addresses will be able to reinitiate connections.     Supported settings:    * 0 - None: Internal feature logic will determine the actual blocking time    * Specify other times in 15-minute increments    ,At least Windows Server 2016  Windows 10 Version 1607,decimalTextBox,Specify how long to block detections for  in minutes,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Remote Encryption Protection,RemoteEncryptionProtectionMaxBlockTime,Textbox values:    0 (minimum)   4294967295 (maximum)
Remote Encryption Protection,Remediation_BNB_REP_RemoteEncryptionProtection_Aggressiveness,Configure how aggressively Remote Encryption Protection blocks threats,    Set the criteria for when remote encryption preventionprotection blocks IP addresses.    Supported settings:    *0 - Low: Block only when confidence level is 100% (Default)    *1 - Medium: Use cloud aggregation and block when confidence level is above 99%    *2 - High: Use cloud intel and context  and block when confidence level is above 90%    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Remote Encryption Protection,RemoteEncryptionProtectionAggressiveness,Policy value:
Remote Encryption Protection,Remediation_BNB_REP_RemoteEncryptionProtection_Aggressiveness,Configure how aggressively Remote Encryption Protection blocks threats,    Set the criteria for when remote encryption preventionprotection blocks IP addresses.    Supported settings:    *0 - Low: Block only when confidence level is 100% (Default)    *1 - Medium: Use cloud aggregation and block when confidence level is above 99%    *2 - High: Use cloud intel and context  and block when confidence level is above 90%    ,At least Windows Server 2016  Windows 10 Version 1607,dropdownList,Specify how aggressively Remote Encryption Protection blocks threats,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Remote Encryption Protection,RemoteEncryptionProtectionAggressiveness (required),"List items:      ""0"" = ""Low""      ""1"" = ""Medium""      ""2"" = ""High"""
Remote Encryption Protection,Remediation_BNB_REP_RemoteEncryptionProtectionExclusions, Set exclusions from Remote Encryption Protection,"    Specify IP addresses  subnets  and domain names to exclude from Remote Encryption Protection. Note that attackers can spoof excluded addresses and names to bypass protection.    Enter each address or subnet on a new line as a name-value pair:    - Name column: Enter an IP address or subnet name. For example  """"1.1.127.0"""" will exclude this IP address from getting blocked.    - Value column: Enter """"0"""" for each item    ",At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Remote Encryption Protection,RemoteEncryptionProtection_Exclusions,Policy value:
Remote Encryption Protection,Remediation_BNB_REP_RemoteEncryptionProtectionExclusions, Set exclusions from Remote Encryption Protection,"    Specify IP addresses  subnets  and domain names to exclude from Remote Encryption Protection. Note that attackers can spoof excluded addresses and names to bypass protection.    Enter each address or subnet on a new line as a name-value pair:    - Name column: Enter an IP address or subnet name. For example  """"1.1.127.0"""" will exclude this IP address from getting blocked.    - Value column: Enter """"0"""" for each item    ",At least Windows Server 2016  Windows 10 Version 1607,listBox,Remote Encryption Protection Exclusions,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Remote Encryption Protection\RemoteEncryptionProtectionExclusions,(value list) (append),
Brute-Force Protection,Remediation_BNB_BFP_BruteForceProtection_ConfiguredState,Configure Remote Encryption Protection Mode,    Set the mode for Brute-Force Protection in Microsoft Defender Antivirus  which can detect and block attempts to forcibly initiate sign in and initiate sessions.    Supported settings:    * 0 - Not configured or Default: Apply defaults  which can vary depending on the antivirus engine version and the platform    * 1 - Block: Prevent suspicious and malicious behaviors    * 2 - Audit: Generate EDR detections without blocking    * 4 - Off: Feature is off with no performance impact    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Brute Force Protection,BruteForceProtectionConfiguredState,Policy value:
Brute-Force Protection,Remediation_BNB_BFP_BruteForceProtection_ConfiguredState,Configure Remote Encryption Protection Mode,    Set the mode for Brute-Force Protection in Microsoft Defender Antivirus  which can detect and block attempts to forcibly initiate sign in and initiate sessions.    Supported settings:    * 0 - Not configured or Default: Apply defaults  which can vary depending on the antivirus engine version and the platform    * 1 - Block: Prevent suspicious and malicious behaviors    * 2 - Audit: Generate EDR detections without blocking    * 4 - Off: Feature is off with no performance impact    ,At least Windows Server 2016  Windows 10 Version 1607,dropdownList,Specify the state of Brute-Force Protection,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Brute Force Protection,BruteForceProtectionConfiguredState (required),"List items:      ""0"" = ""Default""      ""1"" = ""Block""      ""2"" = ""Audit""      ""4"" = ""Off"""
Brute-Force Protection,Remediation_BNB_BFP_BruteForceProtection_MaxBlockTime,Configure Brute-Force Protection blocking time,    Set the maximum time an IP address is blocked by Brute-Force Protection. After this time  blocked IP addresses will be able to sign-in and initiate sessions.    Supported settings:    * 0 - None: Internal feature logic will determine the actual blocking time    * Specify other times in 15-minute increments    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Brute Force Protection,BruteForceProtectionMaxBlockTime,Policy value:
Brute-Force Protection,Remediation_BNB_BFP_BruteForceProtection_MaxBlockTime,Configure Brute-Force Protection blocking time,    Set the maximum time an IP address is blocked by Brute-Force Protection. After this time  blocked IP addresses will be able to sign-in and initiate sessions.    Supported settings:    * 0 - None: Internal feature logic will determine the actual blocking time    * Specify other times in 15-minute increments    ,At least Windows Server 2016  Windows 10 Version 1607,decimalTextBox,Specify how long to block detections for  in minutes,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Brute Force Protection,BruteForceProtectionMaxBlockTime,Textbox values:    0 (minimum)   4294967295 (maximum)
Brute-Force Protection,Remediation_BNB_BFP_BruteForceProtection_Aggressiveness,Configure Brute-Force Protection aggressiveness,    Set the criteria for when Brute-Force Protection blocks IP addresses.    Supported settings:    *0 - Low: Block only when confidence level is 100% (Default)    *1 - Medium: Use cloud aggregation and block when confidence level is above 99%    *2 - High: Use cloud intel and context  and block when confidence level is above 90%    ,At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Brute Force Protection,BruteForceProtectionAggressiveness,Policy value:
Brute-Force Protection,Remediation_BNB_BFP_BruteForceProtection_Aggressiveness,Configure Brute-Force Protection aggressiveness,    Set the criteria for when Brute-Force Protection blocks IP addresses.    Supported settings:    *0 - Low: Block only when confidence level is 100% (Default)    *1 - Medium: Use cloud aggregation and block when confidence level is above 99%    *2 - High: Use cloud intel and context  and block when confidence level is above 90%    ,At least Windows Server 2016  Windows 10 Version 1607,dropdownList,Specify how aggressively Brute-Force Protection blocks threats,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Brute Force Protection,BruteForceProtectionAggressiveness (required),"List items:      ""0"" = ""Low""      ""1"" = ""Medium""      ""2"" = ""High"""
Brute-Force Protection,Remediation_BNB_BFP_BruteForceProtectionExclusions,Set exclusions from Brute-Force Protection,"    Specify IP addresses  subnets or workstation names to exclude from Brute-Force Protection. Excluded IP addresses will not be checked for possible brute force activity.        Note that attackers can spoof excluded addresses and names to bypass protection. Ensure the names are unique and unlikely to be guessed by attackers.    Enter each address or subnet on a new line as a name-value pair:    - Name column: Enter an IP address  subnet name  or workstation name. For example  ""1.1.127.0"" will exclude this IP address from getting blocked by BFP.    - Value column: Enter ""0"" for each item    ",At least Windows Server 2016  Windows 10 Version 1607,policy,,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Brute Force Protection,BruteForceProtection_Exclusions,Policy value:
Brute-Force Protection,Remediation_BNB_BFP_BruteForceProtectionExclusions,Set exclusions from Brute-Force Protection,"    Specify IP addresses  subnets or workstation names to exclude from Brute-Force Protection. Excluded IP addresses will not be checked for possible brute force activity.        Note that attackers can spoof excluded addresses and names to bypass protection. Ensure the names are unique and unlikely to be guessed by attackers.    Enter each address or subnet on a new line as a name-value pair:    - Name column: Enter an IP address  subnet name  or workstation name. For example  ""1.1.127.0"" will exclude this IP address from getting blocked by BFP.    - Value column: Enter ""0"" for each item    ",At least Windows Server 2016  Windows 10 Version 1607,listBox,Brute-Force Protection Exclusions,Software\Policies\Microsoft\Windows Defender\Remediation\Behavioral Network Blocks\Brute Force Protection\BruteForceProtectionExclusions,(value list) (append),
Reporting,Reporting_AdditionalActionTimeout,Configure time out for detections requiring additional action,"This policy setting configures the time in minutes before a detection in the ""additional action"" state moves to the ""cleared"" state.",At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Reporting,AdditionalActionTimeout,Policy value:
Reporting,Reporting_AdditionalActionTimeout,Configure time out for detections requiring additional action,"This policy setting configures the time in minutes before a detection in the ""additional action"" state moves to the ""cleared"" state.",At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Configure time out for detections requiring additional action,Software\Policies\Microsoft\Windows Defender\Reporting,AdditionalActionTimeout,Textbox values:    0 (minimum)   4294967295 (maximum)
Reporting,Reporting_CriticalFailureTimeout,Configure time out for detections in critically failed state,This policy setting configures the time in minutes before a detection in the â€œcritically failedâ€ state to moves to either the â€œadditional actionâ€ state or the â€œclearedâ€ state.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Reporting,CriticalFailureTimeout,Policy value:
Reporting,Reporting_CriticalFailureTimeout,Configure time out for detections in critically failed state,This policy setting configures the time in minutes before a detection in the â€œcritically failedâ€ state to moves to either the â€œadditional actionâ€ state or the â€œclearedâ€ state.,At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Configure time out for detections in critically failed state,Software\Policies\Microsoft\Windows Defender\Reporting,CriticalFailureTimeout,Textbox values:    0 (minimum)   4294967295 (maximum)
Reporting,Reporting_DisablegenericrePorts,Configure Watson events,This policy setting allows you to configure whether or not Watson events are sent.    If you enable or do not configure this setting  Watson events will be sent.    If you disable this setting  Watson events will not be sent.,At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Reporting,DisableGenericRePorts,Policy value:   0 (Enabled)   1 (Disabled)
Reporting,Reporting_NonCriticalTimeout,Configure time out for detections in non-critical failed state,"This policy setting configures the time in minutes before a detection in the ""non-critically failed"" state moves to the ""cleared"" state.",At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Reporting,NonCriticalTimeout,Policy value:
Reporting,Reporting_NonCriticalTimeout,Configure time out for detections in non-critical failed state,"This policy setting configures the time in minutes before a detection in the ""non-critically failed"" state moves to the ""cleared"" state.",At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Configure time out for detections in non-critical failed state,Software\Policies\Microsoft\Windows Defender\Reporting,NonCriticalTimeout,Textbox values:    0 (minimum)   4294967295 (maximum)
Reporting,Reporting_RecentlyCleanedTimeout,Configure time out for detections in recently remediated state,"This policy setting configures the time in minutes before a detection in the ""completed"" state moves to the ""cleared"" state.",At least Windows Server 2012  Windows 8 or Windows RT,policy,,Software\Policies\Microsoft\Windows Defender\Reporting,RecentlyCleanedTimeout,Policy value:
Reporting,Reporting_RecentlyCleanedTimeout,Configure time out for detections in recently remediated state,"This policy setting configures the time in minutes before a detection in the ""completed"" state moves to the ""cleared"" state.",At least Windows Server 2012  Windows 8 or Windows RT,decimalTextBox,Configure time out for detections in recently remediated state,Software\Policies\Microsoft\Windows Defender\Reporting,RecentlyCleanedTimeout,Textbox values:    0 (minimum)   4294967295 (maximum)
